SLES-53831;BloodRayne 2
SLES-50203;Bloody Roar 3
SLES-51877;Bloody Roar 4
SLES-52989;Blowout
SLES-51966;Bombastic
SLES-53301;Bomberman Hardball
SLES-51302;Bomberman Kart
SLES-51083;Borussia Dortmund Club Football - Saison 2003-2004
SCES-50241;Bouncer, The
SLES-51861;Bowling Xciting
SLES-51717;Boxing Champions
SLES-54342;Bratz - Forever Diamondz
SLES-53574;Bratz - Rock Angelz
SLES-54998;Bratz - The Movie
SCES-51635;Brave - The Search for Spirit Dancer
SLES-51496;Breath of Fire - Dragon Quarter
SLES-52717;Brian Lara Cricket 2005
SLES-50946;Britney's Dance Beat
SLES-51557;Broken Sword - The Sleeping Dragon
SLES-53659;Brothers in Arms - Earned in Blood
SLES-52888;Brothers in Arms - Road to Hill 30
SLES-51890;Buffy the Vampire Slayer - Chaos Bleeds
SLES-52495;Bujingai - Swordmaster
SLES-50445;Burnout
SLES-51044;Burnout 2 - Point of Impact
SLES-52584;Burnout 3 - Takedown
SLES-53506;Burnout Revenge
SLES-51713;Bust-A-Bloc
SLES-51731;Bust-A-Block
SLES-51060;Butt Ugly Martians
SCES-54499;Buzz! Das Mega-Quiz
SCES-54219;Buzz! Junior - Jungle Party
SCES-53879;Buzz! The Big Quiz
SCES-53304;Buzz! The Music Quiz
SCES-54258;Buzz! The Sports Quiz
SLES-53236;Buzzrod Fishing Fantasy
SLES-50267;CART Fury Championship Racing
SLES-54465;CSI 3 - Dimensions of Murder
SLES-53046;CT Special Forces - Fire for Effect
SLES-51590;Cabela's Big Game Hunter
SLES-52106;Cabela's Dangerous Hunts
SLES-52782;Call of Duty - Finest Hour
SLES-52783;Call of Duty - Le Jour de Glorie
SLES-53415;Call of Duty 2 - Big Red One
SLES-53722;Call of Duty 2 - Big Red One [Collector's Edition]
SLES-54166;Call of Duty 3
SLES-53561;Canis Canem Edit
SLES-53661;Capcom Classics Collection
SLES-52852;Capcom Fighting Jam
SLES-50541;Capcom vs. SNK 2 - Mark of the Millennium
SLES-54471;Captain Scarlet
SLES-53922;Car Wash Tycoon
SLES-52143;Carmen Sandiego - The Secret of the Stolen Drums
SLES-54306;Cartoon Network Racing
SLES-52178;Casino Challenge
SLES-50647;Casper - Spirit Dimensions
SLES-54383;Casper and The Ghostly Trio
SLES-53518;Castle Shikigami II
SLES-53755;Castlevania - Curse of Darkness
SLES-52118;Castlevania - Lament of Innocence
SLES-51249;Castleween
SLES-52567;Catwoman
SLES-51554;Cell Damage Overdrive
SLES-51423;Celtic - Club Football
SLES-52665;Celtic FC - Club Football 2005
SLES-50636;Centre Court - Hardhitter
SLES-53039;Champions - Return to Arms
SLES-52325;Champions of Norrath - Realms of EverQuest
SLES-53945;Championship Manager 2006
SLES-54320;Championship Manager 2007
SLES-53027;Championship Manager 5
SLES-51553;Chaos Legion
SLES-53386;Charlie and the Chocolate Factory
SLES-51750;Charlie's Angels
SLES-52663;Chelsea FC - Club Football 2005
SLES-51504;Chessmaster
SLES-51436;Chessmaster 9000
SLES-54452;Chicken Little - 'As' en Accion
SLES-54449;Chicken Little - Ace in Action
SLES-54450;Chicken Little - Aventures Intergalactiques
SLES-50935;Circus Maximus - Chariot Wars
SLES-50364;City Crisis
SLES-53614;Classic British Motor Racing
SLES-51619;Clock Tower 3
SLES-51089;Club Football - Arsenal
SLES-51086;Club Football - Chelsea
SLES-51081;Club Football - Juventus 2003-2004 Season
SLES-51100;Club Football - Liverpool - 2003-2004 Season
SLES-51090;Club Football - Manchester United
SLES-52647;Club Football - Manchester United 2005
SLES-51088;Club Football - Rangers
SLES-52654;Club Football - Real Madri 2005
SLES-51077;Club Football Real Madrid
SLES-54518;Clumsy Shumsy
SLES-52523;Cocoto - Platform Jumper
SLES-54548;Cocoto Fishing Master
SLES-52858;Cocoto Kart Racer
SLES-54615;Code of the Samurai
SLES-53158;Cold Fear
SLES-52963;Cold Winter
SLES-51824;Colin McRae Rally '04
SLES-52636;Colin McRae Rally 2005
SLES-51117;Colin McRae Rally 3
SLES-53356;Colosseum - Road to Freedom
SLES-53924;Combat Ace
SLES-52768;Commandos - Strike Force
SLES-50829;Commandos 2 - Men of Courage
SLES-52451;Conan - The Dark Axe
SLES-50902;Conflict - Desert Storm
SLES-51523;Conflict - Desert Storm II
SLES-52573;Conflict - Global Storm
SLES-52630;Conflict - Vietnam
SLES-50221;Conflict Zone
SLES-53098;Conspiracy - Weapons of Mass Destruction
SLES-52872;Constantine
SLES-51284;Contra - Shattered Soldier
SLES-51785;Cool Shot
SLES-52219;Corvette
SLES-52291;Countryside Bears
SLES-52339;Crash 'n Burn
SLES-50386;Crash Bandicoot - Wrath of Cortex
SLES-51511;Crash Nitro Kart
SLES-53439;Crash Tag Team Racing
SLES-52568;Crash Twinsanity
SLES-50843;Crashed
SLES-54468;Crazy Chicken X
SLES-53869;Crazy Frog Racer
SLES-54549;Crazy Frog Racer 2
SLES-53000;Crazy Golf
SLES-50215;Crazy Taxi
SLES-52044;Crescent Suzuki Racing - Superbikes and Super Sidecars
SLES-50424;Cricket 2002
SLES-52122;Crime Life - Gang Wars
SLES-52556;Crimson Sea 2
SLES-52534;Crimson Tears
SCES-52530;Crisis Zone
SLES-51916;Crouching Tiger, Hidden Dragon
SLES-53952;Cue Academy, The (Snooker-Pool-Billiards)
SLES-54364;Curious George
SLES-51934;Curse - The Eye of Isis
SLES-82018;Cy Girls
SLES-52684;Cyclone Circus - Power Sail Racing
SCES-52762;DJ Decks & FX
SCES-52763;DJ Decks & FX Vol.1
SLES-50202;DNA - Dark Native Apostle
SLES-53904;DT Racer
SLES-50816;DTM Race Driver
SLES-52638;DTM Race Driver 2
SLES-53088;DTM Race Driver 3
SLES-54031;Da Vinci Code, The
SLES-52242;Dalmatians 3
SLES-52107;Dance Europe
SLES-54332;Dance Fest
SLES-51991;Dance UK
SLES-52490;Dance UK - Extra Trax
SLES-51757;Dancing Stage Fever
SLES-51510;Dancing Stage Fever MegaMix
SLES-52598;Dancing Stage Fusion
SLES-53218;Dancing Stage MAX
SLES-51333;Dark Angel
SCES-51190;Dark Chronicle
SCES-50295;Dark Cloud
SLES-50575;Dark Summit
SLES-52874;Dark Wind (with Gametrak)
SLES-53564;Darkwatch
SLES-50217;Dave Mirra Freestyle BMX 2
SLES-50243;David Beckham Soccer
SLES-54366;David Douillet Judo
SCES-50003;Dead or Alive 2 - Hardcore
SLES-51581;Dead to Rights
SLES-53424;Dead to Rights 2
SLES-52284;Deadly Skies II
SLES-52955;Deadly Strike
SCES-52586;Death by Degrees
SLES-52507;Def Jam - Fight for New York
SLES-51479;Def Jam Vendetta
SLES-50714;Defender
SLES-53299;Delta Force - Black Hawk Down
SLES-54115;Delta Force - Dlack Hawk Down - Team Sabre
PBPS-95205;Demo Disc
SLES-54305;Demon Chaos
SLES-54384;Destroy All Humans 2 - Make War not Love
SLES-53196;Destroy All Humans!
SCES-50781;Destruction Derby Arena [Beta, Promo, & Full Retail]
SLES-52041;Detonator
SLES-50804;Deus Ex
SCES-54128;Deutsch Rock-Pop
SLES-51846;Deutschland sucht den Superstar
SLES-53870;Devil Kings
SLES-50358;Devil May Cry
SLES-82011;Devil May Cry 2 [Dante Disc]
SLES-82012;Devil May Cry 2 [Lucia Disc]
SLES-53038;Devil May Cry 3 - Dante's Awakening
SLES-54186;Devil May Cry 3 - Dante's Awakening [Special Edition]
SLES-51347;Die Hard - Vendetta
SLES-52631;Digimon Rumble Arena 2
SLES-53405;Digimon World 4
SLES-50930;Dino Stalker
SLES-52243;Dinosaur Adventure
SLES-54185;Dirge of Cerberus - Final Fantasy VII
SLES-51621;Dirt Track Devils
SLES-52458;Disgaea - Hour of Darkness
SLES-54454;Disgaea 2 - Cursed Memories
SLES-51042;Disney Golf
SLES-53738;Disney's Chicken Little
SLES-50042;Disney's Dinosaur
SLES-51720;Disney's Extreme Skate Adventure
SLES-50045;Disney's Jungle Book - Groove Party
SLES-52292;Disney's Mighty Mulan
SCES-50600;Disney's Monster Inc. - Scare Island
SCES-50522;Disney's Peter Pan - Adventures in Neverland
SLES-51594;Disney's Piglet's Big Game
SLES-52293;Disney's Son of the Lion King
SCES-50966;Disney's Stitch - Experiment 626
SLES-50350;Disney's Tarzan - Freeride
SLES-53706;Disney's The Chronicles of Narnia - The Lion, The Witch, and The Wardrobe
SLES-52214;Disney's The Haunted Mansion
SCES-51176;Disney's Treasure Planet
SLES-52889;Disney's Winnie the Pooh Rumbly Tumbly Adventure
SLES-53624;Disney-Pixar's Cars
SLES-51755;Disney-Pixar's Finding Nemo
SCES-50595;Disney-Pixar's Monsters Inc.
SLES-52812;Disney-Pixar's The Incredibles
SLES-53658;Disney-Pixar's The Incredibles - Rise of the Underminer
SLES-53367;Dodgeball
SCES-51248;Dog's Life
SLES-50048;Donald Duck - Quack Attack
SLES-50773;Donald Duck Phantomias Platyrhynchos Kineticus
SLES-53142;Doomsday Racers
SLES-53697;Dora the Explorer
SLES-50842;Downforce
SLES-52202;Downhill Domination
SLES-53963;Downhill Slalom
SLES-51482;Downtown Run
SLES-54381;Dr. Dolittle
SLES-50710;Dr. Muto
SLES-52034;Dr. Seuss' Cat in the Hat
SLES-53874;Dragon Blaze
SLES-53974;Dragon Quest VIII - Journey of the Cursed King
SLES-50630;Dragon Rage
SLES-51696;Dragon's Lair 3D - Special Edition
SLES-51233;DragonBall Z - Budokai
SLES-51839;DragonBall Z - Budokai 2
SLES-52730;DragonBall Z - Budokai 3
SLES-53346;DragonBall Z - Budokai 3 [Collector's Edition]
SLES-53200;DragonBall Z - Budokai Tenkaichi
SLES-54164;DragonBall Z Budokai - Tenkaichi 2
SCES-50006;Drakan - The Ancients' Gates
SLES-52322;Drakengard
SLES-53794;Drakengard 2
SLES-53225;Dreamworks' Madagascar
SLES-50390;Driven
SLES-52733;Driven to Destruction
SLES-54027;Driver - Parallel Lines
