1048;Instruments of Chaos Starring Young Indiana Jones (USA)
T-70296;Jammit (USA)
T-83026;Jeopardy! (USA)
T-83116;Jeopardy! - Deluxe Edition (USA)
T-83126;Jeopardy! - Sports Edition (USA)
670-2135;JuJu Densetsu ~ Toki - Going Ape Spit (World)
T-81306;Judge Dredd (World)
T-70176;Jungle Book, The (USA)
1056;Jurassic Park (USA)
T-23026;King Salmon - The Big Catch (USA)
T-103056;King of the Monsters 2 (USA)
7004;Lakers versus Celtics and the NBA Playoffs (USA)
1353;Landstalker (USA)
T-76106;Liberty or Death (USA)
1187;Light Crusader (USA)
1143;Lightening Force - Quest for the Darkstar (USA)
T-119216;Lost Vikings, The (USA)
T-125016;Lost Vikings, The (USA)
7816;Madden NFL 98 (USA)
1558;Magic School Bus, The (USA)
T-88086;Marko (USA)
T-93086;Mary Shelley's Frankenstein (USA)
T-152016;Math Blaster - Episode 1 (USA)
T-70066;Mick & Mack as the Global Gladiators (USA)
T-93156;Mickey Mania - The Timeless Adventures of Mickey Mouse (USA)
T-112046;Mickey's Ultimate Challenge (USA)
1570;Mighty Morphin Power Rangers (USA)
T-89026;Monopoly (USA)
T-81186;Mortal Kombat (World)
T-97116;Mortal Kombat 3 (USA)
T-81346;Mortal Kombat II (World)
1221;NBA Action '94 (USA)
T-81406;NBA Jam - Tournament Edition (World)
7818;NBA Live 98 (USA)
T-158016;NCAA Final Four Basketball (USA)
T-87106;NCAA Football (USA)
1243;NFL 98 (USA)
1225;NFL Football '94 Starring Joe Montana (USA)
7820;NHL 98 (USA)
1230;NHL All-Star Hockey '95 (USA)
T-70106;Out of this World (USA)
T-87036;Outlander (USA)
T-141160;Pac-Attack (USA)
T-14126;Pac-Man 2 - The New Adventures (USA)
1307;Phantasy Star IV (USA)
14016;Phelios (USA)
T-104026;Pirates! Gold (USA)
301027;Pit-Fighter (World)
T-130036;Pitfall - The Mayan Adventure (USA)
T-239036;Pocahontas (USA)
1240;Prime Time NFL Starring Deion Sanders (USA)
T-97036;Pro Quarterback (USA)
T-113016;Puggsy (USA)
301039;R.B.I. Baseball 3 (USA)
T-48246;Race Drivin' (USA)
1076;Ranger X (USA)
