GFGEA4;Frogger Beyond
GFQEA4;Frogger's Adventures The Rescue
GFUE4Z;Future Tactics : The Uprising
GUNE5D;Gauntlet: Dark Legacy
GITE01;Geist
GGYE41;Ghost Recon 2
GLSE64;Gladius
GHGEEB;Go! Go! Hypergrind
GGCE0A;Goblin Commander: Unleash The Horde
GZDE70;Godzilla : Destroy all Monsters Melee
GOYE69;Goldeneye Rogue Agent
GG4E08;Gotcha Force
GVRE7H;Grooverider Slot Car Thunder
GUME52;Gun
GH7E5D;Happy Feet
GHSE69;Harry Potter and the Chamber of Secrets
GH4E69;Harry Potter and the Goblet of Fire
GHLE69;Harry Potter and the Sorcerer's Stone
GAZE69;Harry Potter: Prisoner of Azkaban
GQWE69;Harry Potter: Quidditch World Cup
GYWEE9;Harvest Moon: A Wonderful Life
G4GEE9;Harvest Moon: Another Wonderful Life
G4AEE9;Harvest Moon: Magical Melody
GHYE6S;Haunted Mansion, The
GH6EAF;Hello Kitty : Roller Rescue
GHME4F;Hitman 2: Silent Assassin
GHBE7D;Hobbit, The
GLBE8P;Home Run King
GHWE78;Hot Wheels: Velocity X
GHRE78;Hot Wheels: World Race
GHKE7D;Hulk
GHNE71;Hunter The Reckoning
GNJEAF;I-Ninja
GIAE7D;Ice Age 2: The Meltdown
GIKE70;Ikaruga
GIQE78;Incredibles Rise of the Underminer
GIVE4Z;Intellivision Lives
G95E01;Interactive Multi-Game Demo Disc - July 2002
G97E01;Interactive Multi-Game Demo Disc - March 2002
GENE69;James Bond 007: Everything Or Nothing
GLZE69;James Bond 007: From Russia With Love
GO7E69;James Bond 007: NightFire
GSCE51;Jeremy McGrath SuperCross World
GJNE78;Jimmy Neutron Boy Genius
GJFE78;Jimmy Neutron Jet Fusion
GJYE78;Jimmy Neutron: Attack of the Twonkies
GJDE5S;Judge Dredd: Dredd vs. Death
GKOE70;Kao The Kangaroo Round 2
GK9EA4;Karaoke Revolution Party
GKSE52;Kelly Slater's Pro Surfer
GK7E08;Killer7
GKHEA4;King Arthur
GKYE01;Kirby Air Ride
GKKE69;Knockout Kings 2003
GL5E4F;LEGO Star Wars - The Video Game
GL7E64;LEGO Star Wars II: The Original Trilogy
GLWE51;Legends of Wrestling
GL2E51;Legends of Wrestling 2
GLCE52;Lemony Snickets A Series Of Unfortunate Events
GLNE69;Looney Tunes - Back in Action
GKLE69;Lord of the Rings: The Return of the King
G3AE69;Lord of the Rings: The Third Age
GLOE69;Lord of the Rings: The Two Towers
GRNE52;Lost Kingdoms
GR2E52;Lost Kingdoms 2
GLUE7U;Lotus Challenge
GLME01;Luigi's Mansion
GR4EMZ;MC Groovz Dance Craze
GSGE5D;MLB SlugFest 2003
GS7E5D;MLB SlugFest 2004
GVPE69;MVP Baseball 2004
GV4E69;MVP Baseball 2005
GSVE78;MX Superfly Featuring Ricky Carmichael
GGZE52;Madagascar
G6ME69;Madden NFL 06
G7ME69;Madden NFL 07
GQ8E69;Madden NFL 08
GMDE69;Madden NFL 2002
GM3E69;Madden NFL 2003
GQXE69;Madden NFL 2004
GNQE69;Madden NFL 2005
GDME01;Magical Mirror Starring Mickey Mouse
G62E54;Major League Baseball 2k6
GFTE01;Mario Golf: Toadstool Tour
GM4E01;Mario Kart: Double Dash!!
GMPE01;Mario Party 4
