SLUS-01309;BOXING
SLUS-00444;BRAHMA FORCE - THE ASSAULT ON BELTLOGGER 9
SLUS-00171;BRAIN DEAD 13
SLUS-01508;BRATZ
SLUS-90029;BRAVE FENCER MUSASHI
SLUS-00488;BRAVO AIR RACE
SLUS-01170;BREAKOUT
SLUS-00422;BREATH OF FIRE III
SLUS-01324;BREATH OF FIRE IV
SLUS-00687;BRIGANDINE - THE LEGEND OF FORSENA
SLUS-00289;BROKEN HELIX
SLUS-00484;BROKEN SWORD - THE SHADOW OF THE TEMPLARS
SLUS-00812;BROKEN SWORD 2 - THE SMOKING MIRROR
SLUS-00571;BRUNSWICK CIRCUIT PRO BOWLING
SLUS-00856;BRUNSWICK CIRCUIT PRO BOWLING 2
SLUS-00370;BUBBLE BOBBLE FEAT. RAINBOW ISLANDS
SLUS-00110;BUBSY 3D
SLUS-00354;BUGRIDERS - THE RACE OF KINGS
SLUS-01144;BUGS BUNNY & TAZ - TIME BUSTERS
SLUS-00838;BUGS BUNNY - LOST IN TIME
SLUS-01086;BUILDER'S BLOCK
SLUS-00324;BURNING ROAD
SLUS-01317;BURSTRICK WAKE BOARDING!!
SCUS-94180;BUSHIDO BLADE
SLUS-00663;BUSHIDO BLADE 2
SCUS-94263;BUST A GROOVE
SLUS-01159;BUST A GROOVE 2
SLUS-00725;BUST-A-MOVE '99
SLUS-00233;BUST-A-MOVE 2 - ARCADE EDITION
SLUS-00754;BUST-A-MOVE 4
SLUS-00208;BUSTER BROS. COLLECTION
SLUS-00499;C - THE CONTRA ADVENTURE
SCUS-94666;C-12 - FINAL RESISTANCE
SLUS-01391;CABELA'S BIG GAME HUNTER - ULTIMATE CHALLENGE
SLUS-01474;CABELA'S ULTIMATE DEER HUNT - OPEN SEASON
SLUS-00285;CAESAR'S PALACE
SLUS-01089;CAESAR'S PALACE 2000 - MILLENNIUM GOLD EDITION
SLUS-00780;CAESAR'S PALACE II
SLUS-01476;CAPCOM VS SNK - MILLENNIUM FIGHT 2000 PRO
SLUS-00494;CAR & DRIVER PRESENTS - GRAND TOUR RACING '98
SLUS-01379;CARD GAMES
SCUS-94156;CARDINAL SYN
SCUS-94964;CARNAGE HEART
SCUS-94416;CART WORLD SERIES
SLUS-00162;CASPER
SLUS-01245;CASPER - FRIENDS AROUND THE WORLD
SLUS-01384;CASTLEVANIA - CHRONICLES
SLUS-00067;CASTLEVANIA - SYMPHONY OF THE NIGHT
SLUS-00882;CASTROL HONDA SUPERBIKE RACING
SLUS-00807;CENTIPEDE
SLUS-01084;CHAMPIONSHIP BASS
SLUS-00790;CHAMPIONSHIP MOTOCROSS - FEATURING RICKY CARMICHAEL
SLUS-01230;CHAMPIONSHIP MOTOCROSS 2001 - FEATURING RICKY CARMICHAEL
SLUS-01216;CHAMPIONSHIP SURFER
SLUS-01400;CHESS
SLUS-00886;CHESSMASTER II
SLUS-01304;CHICKEN RUN
SLUS-00844;CHOCOBO RACING
SLUS-00814;CHOCOBO'S DUNGEON 2
SCUS-94701;CHRONICLES OF THE SWORD
SLUS-01080;CHRONO CROSS
SLUS-00697;CIRCUIT BREAKERS
SLUS-00792;CIVILIZATION II
SLUS-01491;CLEOPATRA'S FORTUNE
SLUS-00539;CLOCK TOWER
SLUS-00695;CLOCK TOWER 2 - THE STRUGGLE WITHIN
SCUS-94409;CODENAME TENKA
SCUS-94474;COLIN MCRAE RALLY
SLUS-01222;COLIN MCRAE RALLY 2.0
SLUS-00196;COLLEGE SLAM
SLUS-00554;COLONY WARS
SLUS-00866;COLONY WARS - RED SUN
SLUS-00722;COLONY WARS - VENGEANCE
SLUS-00410;COMMAND & CONQUER
SLUS-00485;COMMAND & CONQUER - RED ALERT
SLUS-00667;COMMAND & CONQUER - RED ALERT - RETALIATION
SCUS-94294;CONTENDER
SCUS-94494;CONTENDER 2
SLUS-01305;CONTENDER 2
SLUS-00288;CONTRA - LEGACY OF WAR
SCUS-94356;COOL BOARDERS
SCUS-94358;COOL BOARDERS 2
SCUS-94597;COOL BOARDERS 2001
SCUS-94251;COOL BOARDERS 3
SCUS-94559;COOL BOARDERS 4
SLUS-01199;COUNTDOWN VAMPIRES
SLUS-00442;COURIER CRISIS
SLUS-01157;COVERT OPS - NUCLEAR DAWN
SCUS-94900;CRASH BANDICOOT
SCUS-94154;CRASH BANDICOOT 2 - CORTEX STRIKES BACK
SCUS-94244;CRASH BANDICOOT 3 - WARPED
SCUS-94570;CRASH BASH
SCUS-94426;CRASH TEAM RACING
SLUS-01438;CREATURES
SLUS-01553;CREATURES - RAISED IN SPACE
SLUS-00576;CRIME KILLER
SLUS-00428;CRITICAL DEPTH
SLUS-00046;CRITICOM - CRITICAL COMBAT
SLUS-00530;CROC - LEGEND OF THE GOBBOS
SLUS-00634;CROC 2
SLUS-01342;CROSSROAD CRISIS
SLUS-00268;CRUSADER - NO REMORSE
SLUS-00799;CRUSADERS OF MIGHT & MAGIC
SLUS-00335;CRYPT KILLER
SLUS-01422;CUBIX ROBOTS FOR EVERYONE - RACE'N ROBOTS
SLUS-00008;CYBER SLED
SLUS-00116;CYBER SPEED
SLUS-00053;CYBERIA
SLUS-01004;CYBERTIGER
SLUS-00174;D
SLUS-01280;DANCE DANCE REVOLUTION
SLUS-01281;DANCE DANCE REVOLUTION - DISNEY MIX
SLUS-01446;DANCE DANCE REVOLUTION - KONAMIX
SLUS-00881;DANGER GIRL
SLUS-00300;DARE DEVIL DERBY 3D
SLUS-00457;DARKLIGHT CONFLICT
SLUS-00036;DARKSTALKERS - THE NIGHT WARRIORS
SLUS-00745;DARKSTALKERS 3
SLUS-01182;DARKSTONE
SLUS-01026;DAVE MIRRA FREESTYLE BMX
SLUS-01347;DAVE MIRRA FREESTYLE BMX - MAXIMUM REMIX
SLUS-01455;DAVID BECKHAM SOCCER
SLUS-00658;DEAD BALL ZONE
SLUS-00693;DEAD IN THE WATER
SLUS-00606;DEAD OR ALIVE
SLUS-01067;DECEPTION III - DARK DELUSION
SLUS-00009;DEFCON 5 - PEACE HAS A PRICE
SLUS-01429;DELTA FORCE - URBAN WARFARE
SLUS-00969;DEMOLITION RACER
SLUS-00037;DESCENT
SLUS-00460;DESCENT MAXIMUM
SLUS-00732;DESTREGA
SCUS-94302;DESTRUCTION DERBY
SCUS-94350;DESTRUCTION DERBY 2
SLUS-00912;DESTRUCTION DERBY RAW
SLUS-01221;DETECTIVE BARBIE - THE MYSTERY CRUISE
SLUS-00672;DEVIL DICE
SLUS-01421;DEXTER'S LABORATORY - MANDARK'S LAB
SLUS-00619;DIABLO
SLUS-00119;DIE HARD TRILOGY
SLUS-01015;DIE HARD TRILOGY 2 - VIVA LAS VEGAS
SLUS-01328;DIGIMON - DIGITAL CARD BATTLE
SLUS-01404;DIGIMON RUMBLE ARENA
SLUS-01032;DIGIMON WORLD
SLUS-01193;DIGIMON WORLD 2
SLUS-01436;DIGIMON WORLD 3
SLUS-90064;DINO CRISIS
SLUS-01279;DINO CRISIS 2
SLUS-01552;DIRT JOCKEY - HEAVY EQUIPMENT OPERATOR
SCUS-94600;DISCWORLD
SCUS-94605;DISCWORLD II - MORTALITY BYTES!
SCUS-94288;DISNEY / PIXAR - A BUG'S LIFE
SLUS-01192;DISNEY / PIXAR - BUZZ LIGHTYEAR OF STAR COMMAND
SCUS-94635;DISNEY / PIXAR - MONSTERS INC. - SCREAM TEAM
SLUS-00893;DISNEY / PIXAR - TOY STORY 2 - BUZZ LIGHTYEAR TO THE RESCUE
SLUS-01214;DISNEY / PIXAR - TOY STORY RACER
SLUS-07013;DISNEY ACTION GAMES COLLECTORS' EDITION
SLUS-01574;DISNEY'S 101 DALMATIANS II - PATCH'S LONDON ADVENTURE
SLUS-01152;DISNEY'S 102 DALMATIANS - PUPPIES TO THE RESCUE
SCUS-94569;DISNEY'S ALADDIN - NASIRA'S REVENGE
SCUS-94636;DISNEY'S ATLANTIS - THE LOST EMPIRE
SLUS-01167;DISNEY'S DINOSAUR
SLUS-01242;DISNEY'S DONALD DUCK - GOIN' QUACKERS
