NES-DJ-USA;Donkey Kong Classics
NES-JR-USA;Donkey Kong Jr.
NES-CA-USA;Donkey Kong Jr. Math
NES-2D-USA;Double Dare
NES-WD-USA;Double Dragon
NES-W2-USA;Double Dragon II - The Revenge
NES-3W-USA;Double Dragon III - The Sacred Stones
NES-DW-USA;Double Dribble
NES-DC-USA;Dr. Chaos
NES-JH-USA;Dr. Jekyll and Mr. Hyde
NES-VU-USA;Dr. Mario
NES-1D-USA;Dragon Fighter
NES-DP-USA;Dragon Power
NES-P4-USA;Dragon Spirit - The New Legend
NES-DQ-USA;Dragon Warrior
NES-D2-USA;Dragon Warrior II
NES-D3-USA;Dragon Warrior III
NES-D4-USA;Dragon Warrior IV
NES-L9-USA;Dragon's Lair
NES-DH-USA;Duck Hunt
NES-UK-USA;Duck Tales
NES-DL-USA;Duck Tales 2
NES-DM-USA;Dungeon Magic - Sword of the Elements
NES-B7-USA;Dusty Diamond's All-Star Softball
NES-WZ-USA;Dynowarz - The Destruction of Spondylus
NES-EA-USA;Elevator Action
NES-6R-USA;Eliminator Boat Duel
NES-EB-USA;Excitebike
NES-FA-USA;F-117A Stealth Fighter
NES-8F-USA;F-15 Strike Eagle
NES-YF-USA;Family Feud
NES-NS-USA;Faria - A World of Mystery & Danger!
NES-FX-USA;Faxanadu
NES-FC-USA;Felix the Cat
NES-FG-USA;Ferrari - Grand Prix Challenge
NES-EQ-USA ;Fester's Quest
NES-FF-USA;Final Fantasy
NES-K2-USA;Fire 'n Ice
NES-QF-USA;Firehouse Rescue
NES-HO-USA;Fist of the North Star
NES-4F-USA;Flight of the Intruder
NES-5Z-USA;Flintstones, The - The Rescue of Dino & Hoppy
NES-FT-USA;Flintstones, The - The Surprise at Dinosaur Peak!
NES-HR-USA;Flying Dragon - The Secret Scroll
NES-6F-USA;Flying Warriors
NES-W5-USA;Formula One - Built To Win
NES-2F-USA;Frankenstein - The Monster Returns
NES-FE-USA;Freedom Force
NES-F3-USA;Friday the 13th
