81062;Sonic 3D Blast
81079;Sonic Jam
81800;Sonic R
T-5013H;Soviet Strike
T-5007H;Space Hulk Vengeance of the Blood Angels
T-8125H;Space Jam
T-7001H;Spot Goes to Hollywood
T-8135H;Star Fighter
81128;Steep Slope Sliders
T-1213H;Street Fighter Alpha 2
T-1206H;Street Fighter Alpha Warriors Dreams
T-1222H;Street Fighter Collection
T-8105H;Street Fighter The Movie
T-8133H;Striker 96
T-1215H;Super Puzzle Fighter II Turbo
T-12516H;Tempest 2000
T-13705H;Ten Pin Alley
T-5704H;Tetris Plus
T-8124H;The Crow City of Angels
T-7905H;The Incredible Hulk The Pantheon Saga
T-5001H;Theme Park
14002;Three Dirty Dwarves
T-7902H;Thunderstrike 2
T-9702H;Thunderstrike 2
T-4801H;Time Warner Interactives V.R. Virtua Racing
T-13703H;TNN Motor Sports HardCore 4X4
T-7910H;Tomb Raider
T-16406H;True Pinball
T-8144H;Tunnel B1
T-9701H;Ultimate Mortal Kombat 3
T-2303H;Valora Valley Golf
T-2303H;Valora Valley Golf
81015;Virtua Cop
81026;Virtua Cop
81606;Virtua Cop
81043;Virtua Cop 2
81052;Virtua Cop 2
81005;Virtua Fighter
81014;Virtua Fighter 2
81049;Virtua Fighter Kids
81023;Virtua Fighter Remix
81027;Virtua Fighter Remix
81028;Virtua Fighter Remix
T-4801H;Virtua Racing
T-31102H;Virtual Casino
T-14401H;Virtual Hydlide
81042;Virtual On Cyber Troopers
81072;Virtual On Cyber Troopers Net Link Edition
T-8129H;Virtual Open Tennis
T-12518H;VR Golf 97
T-12517H;VR Soccer
T-5023H;WarCraft II The Dark Saga
81024;Wing Arms
T-7602H;Winning Post
81129;Winter Heat
81211;WipEout
T-7903H;World Cup Golf Professional Edition
81109;World Series Baseball
81127;World Series Baseball 98
81113;World Series Baseball II
81123;Worldwide Soccer 98
81105;Worldwide Soccer Sega International Victory Goal Edition
T-16403H;Worms
T-8126H;WWF In Your House
T-8112H;WWF WrestleMania The Arcade Game
T-8108H;X-Men Children of the Atom
