SAJE52;Cabela's Survival - Shadows of Katmai
RQPE52;Cabela's Trophy Bucks
R72E5G;Cake Mania - In The Mix!
SC7E52;Call of Duty - Black Ops
RJAE52;Call of Duty - Modern Warfare - Reflex Edition
SM8E52;Call of Duty - Modern Warfare 3
SM8X52;Call of Duty - Modern Warfare 3
RVYE52;Call of Duty - World at War
RCDE52;Call of Duty 3
SCAE18;Calling
SCGE20;Calvin Tucker's Redneck - Farm Animal Racing Tournament
RVNE20;Calvin Tucker's Redneck Jamboree
SCHEQH;Canada Hunt
RKQENR;Candace Kane's Candy Factory
SFQE8P;Captain America - Super Soldier
RG9E54;Carnival Games - Mini Golf
RCGE54;Carnival Games
RC2E78;Cars - Mater-National
SCYE4Q;Cars 2
R6OE78;Cars Race-O-Rama
STOE4Q;Cars Toon - Mater's Tall Tales
RCAE78;Cars
SQLE4Z;Cartoon Network Punch Time Explosion XL
RX4E4Z;Casper's Scare School - Spooky Sports Day
RS4EXS;Castle of Shikigami III
RDGEA4;Castlevania Judgment
RKEENR;Cate West - The Vanishing Files
REAE69;Celebrity Sports Showdown
SCPE70;Centipede - Infestation
SGKEC8;Champion Jockey - G1 Jockey & Gallop Racer
R4BEJZ;Championship Foosball
R7QE52;Chaotic - Shadow Warriors
R7IE69;Charm Girls Club - Pajama Party
SCXESZ;Chevrolet Camaro - Wild Ride
R8LE20;Chicken Blaster
SCREJH;Chicken Riot
RCSE20;Chicken Shoot
R3CE20;Chrysler Classic Racing
SCEE6K;Chuck E. Cheese's Party Games
SCKE6K;Chuck E. Cheese's Sports Games
SATE6K;Chuck E. Cheese's Super Collection
RG7EQH;City Builder
RBQENR;Classic British Motor Racing
ROYE41;Cloudy with a Chance of Meatballs
R59E4Q;Club Penguin - Game Day!
ROCE5Z;Cocoto Kart Racer
RMRE5Z;Cocoto Magic Circus
RLKEGY;Code Lyoko - Quest for Infinity
R7NE20;Cold Stone Creamery - Scoop It Up
SC2E8P;Conduit 2
RZLE41;Cook Wars
RCCE5G;Cooking Mama - Cook Off
RWKE5G;Cooking Mama - World Kitchen
SQKE5G;Cooking Mama 2-Pack
RKLEG9;Coraline
RCFE41;Cosmic Family
RCTE5Z;Counter Force
S2BEPZ;Country Dance 2
SQ2EPZ;Country Dance
RKBE41;Cranium Kabookii
RC8E7D;Crash - Mind Over Mutant
RQJE7D;Crash of the Titans
RZUE4Z;Crayola Colorful Journey
RHVE5Z;Crazy Chicken Tales
SCZEMH;Crazy Machines
SG2EFS;Crazy Mini Golf 2
SECE69;Create
RCRE5D;Cruis'n
SCSE52;Cruise Ship Vacation Games
RQ6EJJ;Cursed Mountain
SWBE52;DJ Hero 2
SWAE52;DJ Hero
R8ZE8P;Daisy Fuentes Pilates
RDNEA4;Dance Dance Revolution - Disney Grooves
RD4EA4;Dance Dance Revolution - Hottest Party 2
RJREA4;Dance Dance Revolution - Hottest Party 3
RDDEA4;Dance Dance Revolution - Hottest Party
SUREA4;Dance Dance Revolution II
SDEE5G;Dance Sensation!
SBYE41;Dance on Broadway
RDAE52;Dancing with the Stars - We Dance!
RD8E52;Dancing with the Stars
R26E5G;Data East Arcade Classics
RXCE4Z;Dave Mirra BMX Challenge
RN4E41;Dawn of Discovery
RINE08;Dead Rising - Chop Till You Drop
RZJE69;Dead Space - Extraction
SOCE4Z;Deadliest Catch - Sea of Chaos
RDCE78;Deadly Creatures
SNDE20;Deal or No Deal - Special Edition
RLAE20;Deal or No Deal
RDJE4F;Death Jr. - Root of Evil
R2SE18;Deca Sports 2
