SNS-AD5E-USA;Dragon - The Bruce Lee Story
SNS-ADVE-USA;Dragon View
SNS-DI-USA;Dragon's Lair
SNS-DK-USA;Drakkhen
SNS-VE-USA;Dream TV
SNS-V2-USA;Dungeon Master
SNS-ED-USA;Earth Defense Force
SNS-MB-USA;EarthBound
SNS-AEJE-USA;Earthworm Jim
SNS-A2EE-USA;Earthworm Jim 2
SNS-E7-USA;Eek! The Cat
SNS-L7-USA;Elite Soccer
SNS-AESE-USA;Emmitt Smith Football
SNS-EX-USA;Equinox
SNS-EV-USA;ESPN Baseball Tonight
SNS-AEHE-USA;ESPN National Hockey Night
SNS-ASWE-USA;ESPN Speed World
SNS-ASNE-USA;ESPN Sunday Night NFL
SNS-46-USA;EVO - Search for Eden
SNS-9X-USA;Exertainment Mountain Bike Rally
SNS-ALFE-USA;Exertainment Mountain Bike Rally + Speed Racer
SNS-GL-USA;Extra Innings
SNS-FZ-USA;F-Zero
SNS-6P-USA;F1 Pole Position
SNS-EH-USA;F1 Race of Champions
SNS-E2-USA;F1 Race of Champions II
SNS-2F-USA;Faceball 2000
SNS-D8-USA;Family Dog
SNS-FN-USA;Family Feud
SNS-GN-USA;Fatal Fury
SNS-DJ-USA;Fatal Fury 2
SNS-3R-USA;Fatal Fury Special
SNS-84-USA;FIFA International Soccer
SNS-A6SE-USA;FIFA Soccer '96
SNS-A7IE-USA;FIFA Soccer '97
SNS-YH-USA;Fighter's History
SNS-MQ-USA;Final Fantasy - Mystic Quest
SNS-F4-USA;Final Fantasy II
SNS-F6-USA;Final Fantasy III
SNS-FT-USA;Final Fight
SNS-F2-USA;Final Fight 2
SNS-AFZE-USA;Final Fight 3
SNS-FY-USA;Final Fight Guy
SNS-FW-USA;Firepower 2000
SNS-3S-USA;Firestriker
SNS-FK-USA;First Samurai
SNS-5F-USA;Flashback - The Quest for Identity
SNS-AFNE-USA;Flintstones, The
SNS-9F-USA;Flintstones, The - The Treasure of Sierra Madrock
SNS-UF-USA;Football Fury
SNS-AFEE-USA;Foreman For Real
SNS-AFKE-USA;Frank Thomas' Big Hurt Baseball
SNS-AF8E-USA;Frantic Flea
SNS-AF7E-USA;Frogger
SNS-AFTE-USA;Full Throttle - All-American Racing
SNS-7N-USA;Fun & Games
SNS-RL-USA;Gemfire
SNS-6G-USA;Genghis Khan II - Clan of the Gray Wolf
SNS-GK-USA;George Foreman's KO Boxing
SNS-AGJE-USA;Ghoul Patrol
SNS-SU-USA;Goal!
SNS-GZ-USA;Gods
SNS-G6-USA;Goof Troop
SNS-G7-USA;GP-1
SNS-AGRE-USA;GP-1 - Part II
SNS-G3-USA;Gradius III
SNS-4C-USA;Great Circus Mystery, The - Starring Micky & Minnie
SNS-GW-USA;Great Waldo Search, The
SNS-GU-USA;GunForce
SNS-AHGE-USA;Hagane
SNS-JO-USA;Hal's Hole in One Golf
SNS-LJ-USA;Hammer Lock Wrestling
SNS-3Y-USA;Hard Ball III
SNS-HV-USA;Harley's Humongous Adventure
SNS-AYWE-USA;Harvest Moon
SNS-AVSE-USA;Head-On Soccer
SNS-HC-USA;Hit the Ice
SNS-HA-USA;Home Alone
SNS-HN-USA;Home Alone 2 - Lost in New York
SNS-AHIE-USA;Home Improvement
SNS-HO-USA;Hook
SNS-RO-USA;Hunt for Red October, The
SNS-AHUE-USA;Hurricanes
SNS-HQ-USA;Hyper V-Ball
SNS-HZ-USA;Hyper Zone
SNS-AIFE-USA;Ignition Factor, The
SNS-JG-USA;Illusion of Gaia
SNS-DN-USA;Imperium
SNS-AIYE-USA;Incantation
SNS-C7-USA;Incredible Crash Dummies, The
SNS-8U-USA;Incredible Hulk, The
SNS-AIJE-USA;Indiana Jones' Greatest Adventures
SNS-IN-USA;Inindo - Way of the Ninja
SNS-5G-USA;Inspector Gadget
